Date,Store / Outlet,item name,Category,Receipt Price ($),Weight / Qty,Unit,Normalized Unit Price ($),Std Unit
2026-06-13, Apni Mandi, DEEP RICE FLOUR, Grains / Flours,2.99,907, GM,0.33,per 100g
2026-06-13, Apni Mandi, Crisco Pure Vegetable Oil, Baking / Oils,$5.99,40.00, OZ,$0.15, per oz
2026-06-13, Apni Mandi, Hans moth, Lentils / Pulses,$3.99,2.00, LB,$2.00, per lb
2026-06-13, Apni Mandi, Khazana Poha Thick, Grains / Flours,$3.99,2.00, LBS,$2.00, per lb
2026-06-13, Apni Mandi, Broccoli per lb, Produce,0.55,0.62, LB,0.89, per lb
2026-06-13, Apni Mandi, Indian Carrot per lb, Produce,1.56,0.56, LB,2.79, per lb
2026-06-21, patel, CARROTS, Produce,0.21,0.27, LB,0.78, per lb
2026-06-28, new India bazar,VEER FENNEL SEEDS 200GM, Spices / Baking,1.99,200, GM,1,per 100g
2026-06-28, new India bazar, METHI, Produce,2.49,1, EA,2.49, per unit
2026-07-31, Costco,KS ORG A2 PR, Dairy,14.39,1, EA,14.39, per unit
2026-08-30, New India Bazar, CILANTRO, Produce,0.39,1, EA,0.39, per unit
2026-06-14, new India bazar,BERKELEY WHOLE MILK 1/2 GALLON, Dairy,4.49,0.5, GAL,8.98, per gal
2026-07-19, Costco, KS BATTERIES / KS AAA, Household,14.99,1, EA,14.99, per unit
2026-08-06, Bharat Bazar, RAKHI, Miscellaneous / Festivities,1.98,2, EA,0.99, per unit
2026-08-14, Costco,KS ORG A2 PR, Dairy,14.39,1, EA,14.39, per unit
2026-09-04, Walmart,AB 2OZ PNT, Crafts / Art Supplies,0.58,2, OZ,0.29, per oz
